"rank","tiktok_play_count","tiktok_likes","tiktok_comments","tiktok_shares","tiktok_saves","tiktok_url","tiktok_posted_date","asin","name","name_he","category","rating","review_count","price_usd","ships_to_israel","free_shipping_type","affiliate_link","source_video_url","image_url","description_he","status","discovered_at","updated_at"
"1","5853771","74181","835","44861","14687","https://www.tiktok.com/@bk_owner/video/7601501872091860246","2026-01-31","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7601501872091860246","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oAa6EeFmA8Qp3VF9WADAIWe8G2lA9KBRAfEyfY~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=033ae1b3&x-expires=1779030000&x-signature=%2BCzIbhzLlxpBhulvhkk4BRqlFbs%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"2","207644","1850","4","148","484","https://www.tiktok.com/@bk_owner/video/7603796459724524822","2026-02-06","B0CMJ95LTR","B0CMJ95LTR","","bk_owner","0.0","0","0.0","1","paid","https://www.amazon.com/dp/B0CMJ95LTR/?tag=eskl20-20","https://www.tiktok.com/@bk_owner/video/7603796459724524822","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oYekQIk6lGAkcsAlADLgLjTAIIaAhFfDgwehYI~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=e2cd296c&x-expires=1779030000&x-signature=u54LX1sZnObaoQgBUkToWgKYGIY%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:09.887178+00:00","2026-05-16T15:11:09.887178+00:00"
"3","155935","1349","7","366","278","https://www.tiktok.com/@bk_owner/video/7608606456601906454","2026-02-19","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7608606456601906454","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oU3MbAkDpCM0x7TFEAAztAEyEFCXflugeRIzC7~tplv-tiktokx-dmt-logoccm:300:400:tos-no1a-i-0068-no/ocXAMPACiBzCcU6ZBYwaaiMiEAgBz6haPpIAE.jpeg?dr=9231&refresh_token=e225d33f&x-expires=1779030000&x-signature=WuHdeUH70jZ07fqjt%2BXDZBq8xg0%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"4","109374","401","5","175","105","https://www.tiktok.com/@bk_owner/video/7602717294065683734","2026-02-03","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7602717294065683734","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ooCiARrxEK8CSswBMCGBfCPIOIAiAASwArj0IZ~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=f9e4671d&x-expires=1779030000&x-signature=cZZROPAirW5mXU0U6ZYYEvit8zM%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"5","32899","160","0","30","64","https://www.tiktok.com/@bk_owner/video/7631580699887275286","2026-04-22","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7631580699887275286","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o0zXC0PBSE2KIW0CA0xvDekjoBiAIiSAiAALIw~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=dc51d608&x-expires=1779030000&x-signature=ZMfQySjaj6J7yZRuYnuDGbLjSnI%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"6","28553","227","0","80","91","https://www.tiktok.com/@bk_owner/video/7611154182749424918","2026-02-26","B0BDF8CVBN","MCGOR 10inch Under Cabinet Lighting, 2 Pack Rechargeable Motion Sensor Light Indoor, 5 Levels Dimmable Magnetic Closet Lights, Wireless Under Counter Lights for Kitchen, Stairs","תאורת LED נטענת מתחת לארון (2 יח')","bk_owner","4.5","55430","26.99","1","paid","https://www.amazon.com/dp/B0BDF8CVBN/?tag=eskl20-20","","https://m.media-amazon.com/images/I/61x62WLGvNL._AC_SL1500_.jpg","תאורת LED חכמה מתחת לארון המטבח שמדליקה את עצמה בדיוק כשצריך — עם חיישן תנועה מובנה שמזהה כל כניסה לחדר ומכבה לאחר מספר שניות. שתי יחידות נטענות מגיעות בקופסה אחת, ללא כבלים וללא קידוח, הודות לגב מגנטי חזק שמתחבר לכל משטח מתכתי תוך שניות. עם חמישה עוצמות תאורה מתכווננות, תוכלי לבחור אור חזק ומרוכז לעבודה במטבח או אור עמום ונעים לשימוש לילי מבלי להפריע לשאר הבית. בין אם מדובר בארונות מטבח, ארונות בגדים, פרוזדורים חשוכים או אחסון במוסך — הן מתאימות לכל מקום בבית שנדרשת בו תאורה נוחה וחכמה. עם יותר מ-55,000 ביקורות מרוצות ודירוג גבוה במיוחד, מדובר ברכישה חכמה שתשנה את הדרך שבה אולת נעה בבית.","ready_for_video","2026-05-13T06:29:41.067280+00:00","2026-05-16T13:32:02.462959+00:00"
"7","26964","262","6","194","86","https://www.tiktok.com/@bk_owner/video/7600395745526664470","2026-01-28","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7600395745526664470","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oMIAQIeeA1DIeMIjZD9SXAL9WANGzDALA71l0F~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=b7882e44&x-expires=1779030000&x-signature=jxMfNwtogteRD%2FaXtubjw1GKeEY%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"8","16883","193","3","55","99","https://www.tiktok.com/@bk_owner/video/7600088333712346371","2026-01-27","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7600088333712346371","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oMAA4FhTAeuBD8vAjfHFPMIlAIEGLBAICSgeEt~tplv-tiktokx-dmt-logoccm:300:400:tos-no1a-i-0068-no/o8BUETiPAQSJqXX4CABAIgvyI10w8BBCAHi7fk.jpeg?dr=9231&refresh_token=3b7cc577&x-expires=1779030000&x-signature=r8ZdiWG8iyME3lQI8AwTEyKuQs8%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"9","15947","166","0","42","67","https://www.tiktok.com/@bk_owner/video/7601568727682813206","2026-01-31","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7601568727682813206","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oEIk69IAIIAFmEjMD2jYpff3AJD0LFAQFAnS0e~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=c713581f&x-expires=1779030000&x-signature=SJXmTaGWhaywPIcCMm%2Fp6ebi9TI%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"10","15888","183","1","48","58","https://www.tiktok.com/@bk_owner/video/7602349785974164758","2026-02-02","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7602349785974164758","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oEfoBjYAFACEA5gzshDqkpQNgIAjNeRtPFsEEk~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=4102e919&x-expires=1779030000&x-signature=yo5lSQTLQ2x6d3fXAtEtobL6iE8%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"11","15192","249","9","113","105","https://www.tiktok.com/@bk_owner/video/7580383161775869206","2025-12-05","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7580383161775869206","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oQmAZBiXk7BAIpwqclACikyCf1SAA0IC7NEkJz~tplv-tiktokx-dmt-logoccm:300:400:tos-no1a-i-0068-no/oYEAIkjfukeEK2ERK7MpTAF5BA0DyAgFALopyC.jpeg?dr=9231&refresh_token=bc565342&x-expires=1779030000&x-signature=j%2B6OrvZNjY%2FJmI%2Fy%2FuhtwOyNATE%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&sc=cover&biz_tag=tt_video&s=PUBLISH","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"12","14332","121","2","389","130","https://www.tiktok.com/@bk_owner/video/7602669479553731862","2026-02-03","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7602669479553731862","https://p19-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o0aABrYCImBFi5LEAbCtkB1vEJGIAviY0p3mA~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=439f2889&x-expires=1779030000&x-signature=4EHOQfod%2BlFpKEy6LkcB5r54fOc%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"13","14295","174","3","31","74","https://www.tiktok.com/@bk_owner/video/7604138217113210134","2026-02-07","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7604138217113210134","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oAASAfeHDFCpFAdEpHEU1vE2hCkIUnkgxlR1NA~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=e067e9ee&x-expires=1779030000&x-signature=rDq3MHNG7fbStenuDWghV8v1cs8%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"14","11510","115","1","58","68","https://www.tiktok.com/@bk_owner/video/7603693675398352150","2026-02-06","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7603693675398352150","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oQeTMijCITGC6FAI3vL47EAxLfALIAFf3VAIXA~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=223ef74a&x-expires=1779030000&x-signature=I20XtuDJ5jnJRotgdmwKnscfc00%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&sc=cover&biz_tag=tt_video&s=PUBLISH","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
"15","11311","84","0","22","21","https://www.tiktok.com/@bk_owner/video/7601895371039591702","2026-02-01","","","","bk_owner","","","","","","","https://www.tiktok.com/@bk_owner/video/7601895371039591702","https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oADYAEpAuQWfRFkIsIGfDWW5uVAoFjAQfSI1AL~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=b503e8ae&x-expires=1779030000&x-signature=qd%2BybbnuKxDzk8wHhMAcKQjEHwI%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T15:11:03.477529+00:00","2026-05-16T15:11:03.477529+00:00"
