"rank","tiktok_play_count","tiktok_likes","tiktok_comments","tiktok_shares","tiktok_saves","tiktok_url","tiktok_posted_date","asin","name","name_he","category","rating","review_count","price_usd","ships_to_israel","free_shipping_type","affiliate_link","source_video_url","image_url","description_he","status","discovered_at","updated_at"
"1","5416156","191766","1305","56215","71012","https://www.tiktok.com/@byotools/video/7311003827384175918","2023-12-10","","How To Build MOBILE Garage Storage","","byotools","","","","","","","","https://p19-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/f7b141e3da4c4e4fa70bb81e38410afb_1702225748~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=13898872&x-expires=1779019200&x-signature=6sBPdBF6l7dzzqn4GP7QzcpB8iE%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T16:13:28","2026-05-16T16:13:28"
"2","4024860","110378","578","51079","47395","https://www.tiktok.com/@byotools/video/7448693408798887211","2024-12-15","","How To Build A Mobile Work Table","","byotools","","","","","","","","https://p16-common-sign.tiktokcdn-eu.com/tos-useast5-p-0068-tx/ooZzfAfFikAU7IQOCvLeHEAOFEJAZmICjAGWIr~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=f8dfe9b1&x-expires=1779019200&x-signature=MVkHT%2FXQlKa0rWWSQ%2FzWjoDd3YM%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&sc=cover&biz_tag=tt_video&s=PUBLISH","","discovered","2026-05-16T16:13:28","2026-05-16T16:13:28"
"3","1791194","42061","830","37704","10326","https://www.tiktok.com/@byotools/video/7625397415528369438","2026-04-05","","High Tech Pet Rollup Door","","byotools","","","","","","","","https://p19-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oUaExiSPiLgApDdIoARzll1ABZaBA2w1FE2mA~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=bda46197&x-expires=1779019200&x-signature=%2B95OGP%2FV%2FIyQ6gTE6wDTpYllBaM%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T16:13:28","2026-05-16T16:13:28"
"4","1480413","35029","698","11520","17978","https://www.tiktok.com/@byotools/video/7614912339950701855","2026-03-08","B01KGFAN00","BEYOND PAINT Countertop Makeover Refinishing Kit - Color: Bone","ערכת חידוש משטחי עבודה, גוון עצם","byotools","0.0","0","12.01","0","","https://www.amazon.com/dp/B01KGFAN00/?tag=eskl20-20","","","","discovered","2026-05-16T16:13:28","2026-05-16T16:13:28"
"5","1077345","70949","661","23607","12690","https://www.tiktok.com/@byotools/video/7623797905245228318","2026-04-01","B0CDMGLWY1","InSinkErator EVOLUTION 1HP 1 HP, Advanced Series Continuous Feed Food Waste Garbage Disposal, Gray","מטחנת אשפה InSinkErator 1 כ""ס","byotools","4.5","782","314.1","1","paid","https://www.amazon.com/dp/B0CDMGLWY1/?tag=eskl20-20","","https://m.media-amazon.com/images/I/61rr2ygDzlL._AC_SL1500_.jpg","מכשיר השחיקה InSinkErator Evolution מחסל פסולת מזון ישירות בכיור המטבח, חוסך כביסות מיותרות לאשפה ומשאיר את המטבח נקי ורענן. עם מנוע עוצמתי של כוח סוס אחד, הוא מסוגל לטחון גם שאריות קשות כמו עצמות עוף קטנות, קליפות ירקות ועוד — מהר ובשקט יחסי. הסדרה המתקדמת כוללת טכנולוגיה מיוחדת לצמצום רעשים, כך שתוכלו להשתמש בו גם בלילה מבלי להעיר את כל הבית. ההתקנה פשוטה וה מכשיר מתחבר לרוב הכיורים הסטנדרטיים ללא עבודות שיפוץ מיוחדות. אם אתם רוצים מטבח מסודר יותר, פחות ריחות ואשפה מינימלית — זה השדרוג שציפיתם לו.","discovered","2026-05-16T16:13:28","2026-05-16T16:13:28"
"6","1005477","50159","413","5809","5001","https://www.tiktok.com/@byotools/video/7617118458500664606","2026-03-14","","Innovative Toolless Knee and Back Support","","byotools","","","","","","","","https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oYTQfnzoQMw1eUrVXUWLAPgQGAAfAYf8RAJmAc~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=5c529328&x-expires=1779019200&x-signature=Inp9Ty9a%2BRzGv%2BoWklDQfWm1vp4%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&s=PUBLISH&sc=cover&biz_tag=tt_video","","discovered","2026-05-16T16:13:28","2026-05-16T16:13:28"
"7","893292","15636","596","3606","2448","https://www.tiktok.com/@byotools/video/7610811169204456735","2026-02-25","","Innovative Snow Shovel Design","","byotools","","","","","","","","https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/o0kEQqIGfreIoFjHCThfIsIgJDLKQjAPubCtaA~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=57344758&x-expires=1779019200&x-signature=sHe%2BI31VorJwhYyc%2FOQyOGl8cLM%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&sc=cover&biz_tag=tt_video&s=PUBLISH","","discovered","2026-05-16T16:13:28","2026-05-16T16:13:28"
"8","510647","15591","562","5779","8421","https://www.tiktok.com/@byotools/video/7633489945704877342","2026-04-27","","Liquid Rubber Waterproof Coating","","byotools","","","","","","","","https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oMoTO2WrAAAwAjeiAQLg3NqGTeGbEZzIIIEOfg~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=d3a3bef5&x-expires=1779019200&x-signature=cA79U%2BurwVk%2BlKJKq56Ixn6byOE%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T16:13:28","2026-05-16T16:13:28"
"9","493735","13988","359","5873","3026","https://www.tiktok.com/@byotools/video/7608553934541589790","2026-02-19","","Perfect Pre-Made Drywall Corner","","byotools","","","","","","","","https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/oI4iPCBmEOIKCHAQyf6EXI4h06AA4BHOyAiAAi~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=6fc959c7&x-expires=1779019200&x-signature=3cjlrCs2LvITxjfRw%2B8CH9wpt%2BA%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T16:13:28","2026-05-16T16:13:28"
"10","386429","5297","41","813","1034","https://www.tiktok.com/@byotools/video/7634929693493431583","2026-05-01","B00BT0AYG0","Innovative EVERY Bolt Wrench Set","","byotools","","","","","","https://www.amazon.com/dp/B00BT0AYG0/?tag=eskl20-20","","https://p16-common-sign.tiktokcdn-eu.com/tos-useast8-p-0068-tx2/ogAALIAB06pAVWGu6YE1CF9EREEDoAhVqEfDeN~tplv-tiktokx-cropcenter-q:300:400:q70.jpeg?dr=9232&refresh_token=b5e01e32&x-expires=1779019200&x-signature=QIVD57gN8kdclKrRoA%2Fm2FH3Q8c%3D&t=bacd0480&ps=933b5bde&shp=d05b14bd&shcp=132edbea&idc=useast2b&biz_tag=tt_video&s=PUBLISH&sc=cover","","discovered","2026-05-16T16:13:28","2026-05-16T16:13:28"
